Car_Name,Fuel_Type,Transmission,Year,Present_Price,Driven_kms,Selling_Price
90,2,1,2014,5.59,27000,3.35
93,1,1,2013,9.54,43000,4.75
68,2,1,2017,9.85,6900,7.25
96,2,1,2011,4.15,5200,2.85
92,1,1,2014,6.87,42450,4.6
95,1,1,2018,9.83,2071,9.25
68,2,1,2015,8.12,18796,6.75
91,1,1,2015,8.61,33429,6.5
68,1,1,2016,8.89,20273,8.75
68,1,1,2015,8.92,42367,7.45
62,2,1,2017,3.6,2135,2.85
68,1,1,2015,10.38,51000,6.85
68,2,0,2015,9.94,15000,7.5
76,2,1,2015,7.71,26000,6.1
73,2,1,2009,7.21,77427,2.25
76,1,1,2016,10.79,43000,7.75
76,1,1,2015,10.79,41678,7.25
76,1,1,2016,10.79,43000,7.75
96,0,1,2015,5.09,35500,3.25
93,2,1,2010,7.98,41442,2.65
63,2,1,2016,3.95,25000,2.85
85,2,1,2017,5.71,2400,4.9
93,2,0,2011,8.01,50000,4.4
63,2,1,2014,3.46,45280,2.5
96,2,1,2013,4.41,56879,2.9
92,2,1,2011,4.99,20000,3.0
92,2,1,2013,5.87,55138,4.15
92,2,1,2017,6.49,16200,6.0
63,2,1,2010,3.95,44542,1.95
68,1,1,2015,10.38,45000,7.45
90,1,1,2012,5.98,51439,3.1
90,2,1,2011,4.89,54200,2.35
92,1,1,2014,7.49,39000,4.95
76,1,1,2014,9.95,45000,6.0
73,1,1,2014,8.06,45000,5.5
93,0,1,2011,7.74,49998,2.95
73,2,1,2015,7.2,48767,4.65
0,2,1,2003,2.28,127000,0.35
63,2,1,2016,3.76,10079,3.0
93,2,1,2003,7.98,62000,2.25
65,2,0,2016,7.87,24524,5.85
63,2,1,2014,3.98,46706,2.55
93,2,1,2008,7.15,58000,1.95
73,1,1,2014,8.06,45780,5.5
89,2,1,2012,2.69,50000,1.25
68,2,0,2014,12.04,15000,7.5
90,2,1,2013,4.89,64532,2.65
96,2,1,2006,4.15,65000,1.05
76,2,1,2015,7.71,25870,5.8
68,2,0,2017,9.29,37000,7.75
86,2,1,2005,10.21,90000,2.75
71,2,0,2009,15.04,70000,3.6
